,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
123,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2012-11,,,0.0,",7",3.0,",7",3.0,",7",,,,,0.0,",7",13.0,",7",2.0,",7",1.0,",7",0.0,",7",-6.7,",7,13,+",,,,,24.4,",,7,10,",21.7,",7,01,",531.7,7,335.4,",7",43.2,",,,7",,,7.1,",7",12.3,",,,7",2.0,",,,7"
124,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2012-12,,,0.0,",7",11.0,",7",7.0,",7",,,,,0.0,",7",22.0,",7",10.0,",7",0.0,",7",0.0,",7",-11.7,",7,20,",,,,,27.9,",,7,15,",15.6,",7,02,",1070.8,7,539.1,",7",77.1,",,,7",,,0.9,",7",5.0,",,,7",-3.1,",,,7"
125,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2013-01,0.0,7,0.0,",7",8.0,",7",6.0,",7",31.0,",7",,,1.0,",7",30.0,",7",22.0,",7",0.0,",7",0.0,",7",-18.3,",7,14,",483.0,",,7,30,",,,18.5,",,7,28,",13.3,",7,10,",1856.0,7,785.2,",7",54.7,",,,7",,,-7.0,",7",-2.9,",,,7",-11.1,",,,7"
126,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2013-02,0.0,7,0.0,",7",9.0,",7",5.0,",7",28.0,",7",,,0.0,",7",28.0,",7",4.0,",7",0.0,",7",0.0,",7",-10.0,",7,12,+",559.0,",,7,10,",,,14.2,",,7,10,",9.4,",7,19,",2405.8,7,549.8,",7",40.7,",,,7",,,-1.3,",7",3.1,",,,7",-5.7,",,,7"
127,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2013-03,0.0,7,0.0,",7",9.0,",7",6.0,",7",,,,,0.0,",7",12.0,",7",0.0,",7",2.0,",7",0.0,",7",-6.7,",7,24,",,,,,7.9,",,7,23,",22.2,",7,15,+",2754.1,7,348.3,",7",29.3,",,,7",,,7.1,",7",12.5,",,,7",1.7,",,,7"
128,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2013-04,0.0,7,0.0,",7",10.0,",7",8.0,",7",0.0,",7",0.0,",7",0.0,",7",7.0,",7",0.0,",7",4.0,",7",0.0,",7",-3.9,",7,18,",0.0,",,7,30,+",0.0,",,7,30,+",17.0,",,7,08,+",21.7,",7,30,+",3033.1,7,279.0,",7",89.4,",,,7",0.0,",,,7",9.0,",7",14.5,",,,7",3.6,",,,7"
129,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2013-05,25.7,7,25.7,",7",9.0,",7",7.0,",7",0.0,",7",0.0,",7",0.0,",7",4.0,",7",0.0,",7",18.0,",7",0.0,",7",-1.1,",7,04,+",0.0,",,7,31,+",0.0,",,7,31,+",23.6,",,7,28,",30.6,",7,14,",3160.1,7,127.0,",7",77.2,",,,7",0.0,",,,7",15.1,",7",21.8,",,,7",8.4,",,,7"
130,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2013-06,180.4,7,154.7,",7",0.0,",7",0.0,",7",0.0,",7",0.0,",7",0.0,",7",0.0,",7",0.0,",7",30.0,",7",7.0,",7",6.7,",7,20,",0.0,",,7,30,+",0.0,",,7,30,+",0.0,",,7,30,+",37.2,",7,30,+",3168.4,7,8.3,",7",0.0,",,,7",0.0,",,,7",23.2,",7",29.8,",,,7",16.6,",,,7"
131,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2013-07,449.3,7,268.9,",7",3.0,",7",2.0,",7",,,,,0.0,",7",0.0,",7",0.0,",7",31.0,",7",24.0,",7",15.6,",7,05,",,,,,16.8,",,7,17,",36.1,",7,11,+",0.0,7,0.0,",7",20.9,",,,7",,,27.0,",7",33.2,",,,7",20.8,",,,7"
132,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2013-08,673.2,7,223.9,",7",5.0,",7",2.0,",7",,,,,0.0,",7",0.0,",7",0.0,",7",31.0,",7",13.0,",7",15.0,",7,25,",,,,,2.8,",,7,28,+",34.4,",7,16,+",0.0,7,0.0,",7",9.4,",,,7",,,25.6,",7",31.4,",,,7",19.8,",,,7"
133,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2013-09,738.8,7,65.6,",7",11.0,",7",6.0,",7",,,,,0.0,",7",0.0,",7",0.0,",7",24.0,",7",3.0,",7",2.2,",7,27,",,,,,21.6,",,7,08,",32.8,",7,07,+",47.0,7,47.0,",7",48.0,",,,7",,,18.9,",7",24.8,",,,7",13.1,",,,7"
